product_id,title,skus,publication_name,publication_id,published_on_publication,status
gid://shopify/Product/15724626215296,KILL TEAM: STARTER SET (ENGLISH),60010199071,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724626411904,KILLZONE: TOMB WORLD,99120199136,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724626542976,WHU RIVALS DECK: RECKLESS FURY (ENGLISH),60050799013,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724626706816,WHU RIVALS DECK: WRACK AND RUIN (ENG),60050799014,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724626870656,WHU RIVALS DECK: EDGE OF THE KNIFE (ENG),60050799015,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724627001728,WARHAMMER UNDERWORLDS: SPITEWOOD  (ENG),60010799028,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724627165568,WHU RIVALS DECK:REALMSTONE RAIDERS (ENG),60050799016,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724627329408,BLOOD BOWL: THIRD SEASON EDITION (ENG),60010999014,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724627460480,BLOOD BOWL: OFFICIAL RULEBOOK (3RD) ENG,60040999029,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724627624320,BLOOD BOWL: TROLL,99120999013,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724627722624,BLOOD BOWL: TREEMAN,99120999007,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724627853696,NECROMUNDA: HIVE WAR (ENGLISH),60010599003,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724627952000,NECROMUNDA 32MM BASES (X10),99070599002,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724628115840,M-E SBG JOURNAL: THE WAR OF THE ROHIRRIM,60041499061,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724628246912,NECROMUNDA: RULEBOOK (ENGLISH),60040599042,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724628377984,NECROMUNDA AMBOT AUTOMATA,99120599009,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724628541824,NECROMUNDA: THE BOOK OF JUDGEMENT (ENG),60040599022,Online Store,gid://shopify/Publication/308211384704,false,published
